Item Name,Selling
,
Angle Iron 1-1/2x1-1/2 x1/4``,246.95
Angle Iron 1-1/2x1-1/2 x1/8``,121.95
Angle Iron 1-1/2x1-1/2 x3/16``,175.95
Angle Iron 1x1 x1/4``,139.95
Angle Iron 1x1 x1/8``,84.95
Angle Iron 1x1 x3/16``,116.95
Angle Iron 2x2 x 1/8``,168.95
Angle Iron 2x2 x 3/16``,236.95
Angle Iron 2x2 x1/4``,309.95
Angle Iron 4x4 x 1/4``,883.95
C Purlin 2x10x20 1.2,490
C Purlin 2x4x20 1.2,195.95
C Purlin 2x4x20 1.5,230
C Purlin 2x4x30 1.2,475
C Purlin 2x6x20 1.5,339.95
C Purlin 2x6x30 1.2,475
C Purlin 2x8x20 1.5,375
C Purlin 2x8x30 1.2,770
Corrigated Steel 1/2``,42
Corrigated Steel 3/4``,125.95
Corrigated Steel 3/8``,29.95
Corrigated Steel 5/8``,69.95
Flat Steel 1-1/2`` x 1/4``,160.95
Flat Steel 1-1/2`` x 1/8``,80.95
Flat Steel 1-1/2`` x 3/16``,102.95
Flat Steel 1-1/2`` x 3/8``,292.95
Flat Steel 1/2`` x 1/4``,59.95
Flat Steel 1/2`` x 1/8``,24.95
Flat Steel 1/2`` x 3/16``,40.95
Flat Steel 1`` x 1/4``,95
Flat Steel 1`` x 1/8``,46.95
Flat Steel 1`` x 3/16``,74.95
Flat Steel 1`` x 3/8``,121.95
Flat Steel 2`` x 1/4``,160.95
Flat Steel 2`` x 1/8``,87.95
Flat Steel 2`` x 3/16``,128.95
Flat Steel 2`` x 3/8``,318.95
Flat Steel 3/4`` x 1/4``,92.95
Flat Steel 3/4`` x 1/8``,69.95
Flat Steel 3/4`` x 3/16``,58.95
Flat Steel 3`` x 1/4``,293.95
Flat Steel 3`` x 3/8``,497.95
I Beam 2-1/2x5x30,"1,090.00"
I Beam 2x3x20,350
I Beam 2x3x30,499
I Beam 2x4x20,389.95
I Beam 3x5x20,750
Mild Steel 1/2``,51.95
Mild Steel 1/4``,14.95
Mild Steel 3/8``,34.95
Mild Steel 5/8``,123
R.H.S 1-1/2x1-1/2 Reg 1.5,138.95
R.H.S 1-1/2x1-1/2 Zinc 1.5,147.95
R.H.S 1-1/2x3 Reg 1.8,400
R.H.S 1-1/2x3 Zinc,289.95
R.H.S 1x1 Reg 1.2,110.95
R.H.S 1x1 Reg 1.5,94.95
R.H.S 1x1 Zinc 1.5mm,105.95
R.H.S 2x1 Galv,146.95
R.H.S 2x1 Reg 1.5,138.95
R.H.S 2x2 Reg 1.5,168
R.H.S 2x2 Reg 1.8,230.95
R.H.S 2x2 Zinc 1.8mm X 5.8m,204.95
R.H.S 2X4 Zinc 2 mm X 5.8m,395
R.H.S 3/4X3/4 Reg 1.5,76.95
R.H.S 3/4x3/4 Zinc 1.5,84.95
R.H.S 3x3 Zinc,380.95
R.H.S 4X4 Zinc,936
Solid Square 1/2`` x 1/2``,88.95
Solid Square 3/8`` x 3/8``,61.95
Stirup 3/8 8x8,7.25
Stirup 5/16 6x6,6.5
Window Profile Hollow L Galv,87.95
Window Profile Hollow L Reg,89.95
Window Profile Hollow T Galv,87.95
Window Profile Hollow T Reg,89.95
Window Profile Hollow Z Galv,87.95
Window Profile Hollow Z Reg,99.95
Window Profile Solid L Reg,73.95
Window Profile Solid T Reg,48.95
Window Profile Solid Z Reg,98.95
Z Purlin 2x4x20 1.2,195.95
Z Purlin 2x4x20 1.5,230
Z Purlin 2x4x30 1.2,300
Z Purlin 2x6x20 1.2,425
Z Purlin 2x6x20 1.5,339.95
Rebar 3/8 Corrugated 19ft,95
Rebar 1/2 Corrugated 19ft,145
Rebar 5/8 Corrugated 19ft,220
